Address,PropertyUse,XCoord,YCoord,K12_est,K-12_by_point
2701 Lake Mendota Dr,Vacant,807538.50198524,488460.98658555,142.0,142.0
957 S Gammon Rd,Vacant,789303.77866808,471649.88813004,70.0,70.0
7408 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7294 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7324 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7322 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7320 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7298 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7296 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7290 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7292 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7328 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7288 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7286 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7284 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7282 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7326 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7330 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7278 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7332 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7334 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7370 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7372 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7374 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7384 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7386 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7388 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7390 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7392 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7394 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7396 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7398 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7280 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7276 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7242 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7484 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7426 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7428 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7430 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7432 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7434 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7436 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7438 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7440 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7442 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7444 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7446 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7448 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7450 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7452 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7454 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7456 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7458 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7460 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7462 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7464 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7466 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7468 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7470 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7472 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7474 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7476 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7478 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7480 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7482 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
