Address,Apartment_bedrooms,K-12_by_point
225 N Thompson Dr,616,109.0
2002 Elka Ln,140,63.08668085077969
501 Northport Dr,250,58.0
57 Northridge Ter,94,50.34337063207628
312 East Bluff,441,44.44924169742894
2501 City View Dr,127,40.0
201 N Walbridge Ave,215,40.0
3502 Straubel St,94,39.655314533805175
302 Parkwood Ln,530,37.45250386322615
2801 Dryden Dr,78,35.14829361686297
4733 Crescent Rd,70,34.21555457179735
1148 Morraine View Dr Unit 204,649,32.36918590628509
7601 Radcliffe Dr,125,30.0
6421 Bridge Rd,226,29.974736842105262
415 Moorland Rd,273,29.268614815544026
1661 Lake Point Dr,211,29.156363636363636
1108 Moorland Rd,527,27.0
4629 Atticus Way,203,26.520884613485027
1502 Troy Dr,250,25.8352235653472
302 Kent Ln,238,25.51622830073069
2201 Cypress Way,140,25.0
2301 Cypress Way,140,25.0
702 Bear Claw Way,382,24.724719392330947
420 N Segoe Rd Unit EXP,281,24.538028169014083
2809 Curry Pkwy,464,24.534992223950233
8002 Starr Grass Dr,363,23.909218879443774
6733 Schroeder Rd,218,23.707623908837416
5806 Raymond Rd,176,23.0
2354 Allied Dr Unit 2,66,22.255813953488364
700 W Badger Rd,47,22.21818181818182
621 E Mifflin St,186,22.00000000000003
1622 Fordem Ave,211,22.0
1602 Fordem Ave,374,21.0
5001 Sheboygan Ave,456,21.0
6401 Bridge Rd Unit 101,151,20.027368421052614
1511 Wright St,47,19.827657266902587
1501 Wright St,47,19.827657266902587
801 N Thompson Dr,121,19.457286432160803
1002 N Pleasant View Rd,285,19.17926502506621
4310 Melody Ln Unit 101,638,18.999999999999996
9002 Hawks Reserve Ln Unit 201,273,18.234254958683245
2520 S Stoughton Rd,181,17.85486978204921
2720 McDivitt Rd,66,17.0
1116 Catalpa Cir,12,17.0
6801 Schroeder Rd,31,17.0
11 Craig Ave,148,16.77333333333333
2333 Carling Dr Unit 4,81,16.200000000000003
4711 Jenewein Rd,62,15.710039495903034
3702 Packers Ave,125,15.330188679245284
7502 Westward Way,62,15.057142857142857
