Address,#Bedrooms,#K12Estimates
225 N Thompson Dr,632,109.0
2002 Elka Ln,144,63.61406660535274
501 Northport Dr,256,58.0
57 Northridge Ter,96,51.12189019049971
210-236 & 301-349 & 401-448 & 501-544 East Bluff,441,44.464498393658566
2501 City View Dr,130,40.0
201 N Walbridge Ave,220,40.0
3502 Straubel St,96,39.78693156001635
302 Parkwood Ln,544,38.210639500212665
2801 Dryden Dr,80,35.34114811408485
4733 Crescent Rd,72,34.712882922744186
1124-1148 (quartile) Morraine View Dr,649,32.401778909727106
6421 Bridge Rd,232,30.26086956521739
7601 Radcliffe Dr,128,30.0
415 Moorland Rd,280,29.582800147071808
1661 Lake Point Dr,216,29.314285714285713
4629 Atticus Way,208,27.10938062287447
1108 Moorland Rd,540,27.0
1502 Troy Dr,256,26.36083150648812
302 Kent Ln,244,25.77929727101972
2201 Cypress Way,144,25.0
2301 Cypress Way,144,25.0
702 Bear Claw Way,392,24.83466658909571
420 N Segoe Rd Unit EXP,288,24.662983425414364
2809 Curry Pkwy,476,24.595744680851062
8002 Starr Grass Dr,372,24.27428954184806
6733 Schroeder Rd,224,24.27106401132707
5806 Raymond Rd,180,23.0
700 W Badger Rd,48,22.285714285714285
2330-2354 (quartile) Allied Dr,66,22.255813953488364
621-629 (odd) E Mifflin St,186,22.00000000000003
1622 Fordem Ave,216,22.0
1602 Fordem Ave,384,21.0
5001 Sheboygan Ave,468,21.0
1511 Wright St,48,19.893465780008174
1501 Wright St,48,19.893465780008174
6401-6409 (odd) & 6439-6443 (odd) Bridge Rd,151,19.695652173913032
1002 N Pleasant View Rd,292,19.55223507038687
801 N Thompson Dr,124,19.45098039215686
4310-4336 (even) Melody Ln & 2402-2454 (even) Independence Ln,638,18.999999999999996
9001 & 9002 & 9023 & 9045 & 9067 Hawks Reserve Ln & 1802-1806 (even) Maplecrest Dr & 9012-9020 (quartile) Dominus Ln & 9002 & 9010-9030 Royal Oaks Cir & 1801 & 1825 Opus Ln,273,18.295309996080437
2520 S Stoughton Rd,186,18.22267997519436
1116 Catalpa Cir,12,17.0
2720 McDivitt Rd,68,17.0
6801 Schroeder Rd,32,17.0
1-147 (odd) Craig Ave,148,16.77333333333333
4711 Jenewein Rd,64,16.16501069880653
7502 Westward Way,64,16.0
2309-2345 (quartile) Carling Dr Unit 4,81,15.991416309012875
3702 Packers Ave,128,15.47906976744186
